route,party name
VELLORE ROAD,RAJU TCMS
KOKRAYANPETAI,KGS MALIGAI
KUMARAMANGALAM,KUMARAN BAKERYK
MANIKAM PALAYAM,KALAIMAGAL ANGADI
MANIKAM PALAYAM,SANJAI MALIGAI
SALEM ROAD,HOLY ANGELS PRIMARY SCHOOL
SALEM ROAD,ST ANTONY H R SEC SCHOOL
COLONY,NELLAI AMBIGA MALIGAI
PATTARIMEDU,SRI BALAMURUGAN DIPPARTMENT
THOKAVADI,SPK EDUCATIONAL TRUST CANTEEN
KUMARAMANGALAM,NEW SANA BAKERY
ELACHIPALAYAM,NELLAI TIRUCHENDURMURUGAN STORES
MORE PALAYAM,KARUPATTY RAJA TEA
ANNANAGAR SPP COLNY,NR SUPERMARKET
KUMARAMANGALAM,ANGALAMMAN MALIGAI
SOLASIRAMANI MOLASI,SRI VELAVA BAKERY
ELACHIPALAYAM,MATHESVARAN MALIGAI EM
ELACHIPALAYAM,RAJAVEL MALIGAI
SOLASIRAMANI MOLASI,KALA BAKERY
ELACHIPALAYAM,PUVANESVARI MALIGAI
KOOTAPPALLI,PALANIYAPPAN MALIGAIK
VELLORE ROAD,2425
KANTHAM PALAYAM,SRI SAKTHI MEDICAL
PATTARIMEDU,THANUSGA MALIGAI
VELLORE ROAD,THAMARAI MALIGAI
SALEM ROAD,SAGAR MALIGAI
KANTHAM PALAYAM,AP KAYKARIKADAI
ELACHIPALAYAM,AMMAN MALIGAI EP
BUSTANT,SUPRAMANIAM COOL
PUTHOOR THONDIKAD,AMMAN MALIGAIP
ELACHIPALAYAM,OMSAKTHI MALIGAI E
VELLORE ROAD,CAKE WORLD
DEVANAKURUCHI,NELLAI AMMAN MALIGAI
KOKRAYANPETAI,RILACKS BAKERY
KOKRAYANPETAI,SINNATHAMBI MALIGAI
KOKRAYANPETAI,SRI IYANGAR BAKERY VITAM
SOLASIRAMANI MOLASI,PVS MALIGAI
KOKRAYANPETAI,MRM MALIGAI
SOLASIRAMANI MOLASI,SELVAM MALIGAIS
KOKRAYANPETAI,LUCKY STORESK
KOKRAYANPETAI,PALANISAMY MALIGAI
KOKRAYANPETAI,GOGUL STORES
KOKRAYANPETAI,SELVAM MALIGAI K
KOKRAYANPETAI,NEW LUCKY STORS
KOKRAYANPETAI,NEELAGIRI MALIGAI TWO
KOKRAYANPETAI,OMSAKTHI MALIGAIK
KOKRAYANPETAI,MURUGAN STORES
