id,route,party name
182,KUMARAMANGALAM,CLASIC PROW TEA SHOP
183,KUMARAMANGALAM,ANANDA SUPER MARKET
184,MANIKAM PALAYAM,DHANVANTHRI MEDICAL
185,KUMARAMANGALAM,MAYURA BAKERY MANDAPALAYAM
186,KUMARAMANGALAM,SENGUNTHAR ENJE COLL KENDIN
187,MANIKAM PALAYAM,RAJA MALIGAI
188,KUMARAMANGALAM,PRM MALIGAI
189,KUMARAMANGALAM,MASI KATHI BOOJA STORES
190,KUMARAMANGALAM,KONGU BALAKADAI TWO
191,KUMARAMANGALAM,MUGAVAI MALIGAI KU
192,KUMARAMANGALAM,DHARSINI MALIGAI
193,KUMARAMANGALAM,SRS MALIGAI
194,KUMARAMANGALAM,SRI MURUGAN BAKERY
195,KUMARAMANGALAM,MKM MALIGAI
196,KUMARAMANGALAM,HARI KRISHNA MALIGAI
197,KUMARAMANGALAM,SRI KUMARAN STORES
198,KUMARAMANGALAM,M K G ENTERPRISESS
199,ELACHIPALAYAM,RAJAJI MEDICAL
200,PAVADI STREET,SARAVANA MILK
201,VELLORE ROAD,JAI IYANGAR BAKERY K
202,KUMARAMANGALAM,MUTHARAMMAN MALIGAI
203,SANGAGIRI ROAD,IDHAYAM MEDICAL INDIA P LT D
204,SALEM ROAD,SRI SAKTHI CAKES & SWEETS
205,PAVADI STREET,KANESAN MALIGAI
206,ELACHIPALAYAM,SELACTION MALIGAI
207,ELACHIPALAYAM,NELLAI SANMUGA STORES
208,ELACHIPALAYAM,GOWTHAM MALIGAI
209,ELACHIPALAYAM,KONGU BAKERY ELIMEDU
210,KUMARAMANGALAM,NTR BANDIAN MALIGAI
211,ELACHIPALAYAM,SUGUNA MALIGAI
212,ELACHIPALAYAM,MAHALACHIMI BAKERY MANALI
213,MANIKAM PALAYAM,AFRA STORES
214,MANIKAM PALAYAM,AMMAN MALIGAI
215,DEVANAKURUCHI,NAVIN MALIGAI 1
216,DEVANAKURUCHI,RAJU MALIGAI
217,DEVANAKURUCHI,KTM MALIGAI
218,DEVANAKURUCHI,MUTHUKUMARAN DIPPARTMENT
219,DEVANAKURUCHI,MM 1 MALIGAI
220,DEVANAKURUCHI,ANGAPPAN MALIGAI
221,DEVANAKURUCHI,NALLAI SANDOS MALIGAI
222,COLONY,NALLAI MUTHARAMMAN MALIGAI
223,ETTIMADI,PALANIAPPAN MALIGAITWO
224,SIDTHA LANTHUR,SAKTHI MEDICAL
225,PATTARIMEDU,MUGAVAI MALIGAI B
226,PATTARIMEDU,IMAYAM MALIGAI
227,PATTARIMEDU,NILA MALIGAI
228,NORTH CAR STREET,PONMUTHAYA  SUPER MARKETTWO
229,SANTHAPETTAI,PPM MART 23.24
230,MANIKAM PALAYAM,SRI MAYURA BAKERY
231,COLONY,RM MALIGAI
232,DEVANAKURUCHI,TEA GLAUP
233,PATTARIMEDU,MURUGAN MALIGAI
234,PATTARIMEDU,THANGAM MEDICAL2
235,PATTARIMEDU,BMS MALIGAIP
236,PATTARIMEDU,RAGIM MALIGAI
237,SOLASIRAMANI MOLASI,ILAYABERUMAL MALIGAI
238,PATTARIMEDU,LUCK STORES
239,PATTARIMEDU,NM MALIGAI
240,KOKRAYANPETAI,ESVAR MALIGAI
241,VELLORE ROAD,INDIEN BAKERY
242,SIDTHA LANTHUR,SV STORES
243,SOLASIRAMANI MOLASI,ANGALAMMAN MALIGAIS
244,SIDTHA LANTHUR,KAVIN MALIGAI
245,SIDTHA LANTHUR,NAGAPPA MALIGAI
246,SIDTHA LANTHUR,NELLAIRAJ MALIGAI
247,SIDTHA LANTHUR,NEW BISMI MALIGAI
248,SIDTHA LANTHUR,BARANI STORES
249,SIDTHA LANTHUR,VADIVU MALIGAI
250,COLONY,KM MALIGAI
251,KANTHAM PALAYAM,SELVAKUMAR MALIGAI
252,KANTHAM PALAYAM,MAHALAXMI MALIGAIK
253,KANTHAM PALAYAM,LECHIMI MALIGAI
254,KOLIKALNATHAM ROAD,APSI MALIGAI
255,KANTHAM PALAYAM,CHENNAI BAKES
256,KANTHAM PALAYAM,VINAYAGA COOLDRINGS
257,BUSTANT,RANJITH COOLDRINGS
258,KANTHAM PALAYAM,MAHALAXMI BAAKERY
259,KANTHAM PALAYAM,ABUSEK MALIGAI
260,KANTHAM PALAYAM,MURUGESAN MALIGAI K
261,KANTHAM PALAYAM,SALEM STORES
262,SIDTHA LANTHUR,SELVARANI MALIGAI
263,KANTHAM PALAYAM,PRIYA COOLDRINGS
264,KANTHAM PALAYAM,MANTHIRI MALIGAI
265,KANTHAM PALAYAM,PARATH BOOK SHOP
266,VELLORE ROAD,A TO Z DIPPARTMENT STORES TWO
267,KANTHAM PALAYAM,SKV BOYS CANDIN
268,KUMARAMANGALAM,YES BAKERY
269,ERODE ROAD,CHENNAI STORES
270,SOLASIRAMANI MOLASI,MSR TRADERS MALIGAI
271,SANTHAPETTAI,MAHALAXMI MALIGAI
272,DEVANAKURUCHI,INVI SHOPPING CENTRE
273,NAMAKAL SNT ROAD,MAYITHILI
274,SANGAGIRI ROAD,NELLAIJEPAS MALIGAI
275,VELLORE ROAD,MAYURA IYYANGAR BAKARY V K
276,THOKAVADI,LUCKY STORES THO
277,SALEM ROAD,ATM MALIGAI
278,THOKAVADI,KSR E& C TRUST FC 01
279,KOKRAYANPETAI,SS MALIGAI
280,THOKAVADI,KSR E
281,THOKAVADI,VIDYAAVIKAS EDUCATIONAL INSTITUTIONS
282,WEST CAR STREET,BAVA FRUITS
283,SANGAGIRI ROAD,RAJAN IYANGAR BAKERY
284,EAST CAR STREET,TP SUPRAMANIAMT
285,EAST CAR STREET,UDHAYAM POOJA STORS
286,NAMAKAL SNT ROAD,HARIHARAN AGENCY
287,MANIKAM PALAYAM,PARATHI STORES
288,ETTIMADI,BARAMESVARI MALIGAI
289,PATTARIMEDU,RMS MALIGAI
290,ETTIMADI,PALANIAPPAN MALIGAI
291,BUSTANT,LINGESH MEDICALS
292,WEST CAR STREET,PORUNAI MITTAI KADAI
293,KUMARAMANGALAM,KRUTHIKA MALIGAI
294,KANTHAM PALAYAM,ARTHANARISVARA TEA STAL
295,SALEM ROAD,YAMMY SNACKS
296,MANIKAM PALAYAM,SRI BALAJI MEDICALS AND SUPERMARKET
297,BUSTANT,REAL FRUIT NO.1
298,NORTH CAR STREET,LECHIMI TEX
299,ELACHIPALAYAM,MAHALECHIMI MALIGAI
300,DEVANAKURUCHI,NELLAI SANDO PALAKADA
301,KOLIKALNATHAM ROAD,MKN MALIGAI
302,SIDTHA LANTHUR,BP BAKERY
303,KOLIKALNATHAM ROAD,SARANYA BISCUIT
304,ERODE ROAD,DEEPA MEDICAL
305,ERODE ROAD,ANNADURAI TEA STAL
306,KANTHAM PALAYAM,BLUCK
307,COLONY,MAHENDRA MALIGAI
308,SOUTH CAR STREET,INDHU COFFIPAR
309,NAMAKAL SNT ROAD,MALA KOVIL STAAL
310,MANIKAM PALAYAM,VIJAYAKUMAR MALIGAI
311,COLONY,GOPAL MALIGAI
312,VELLORE ROAD,SIVASAKYHI MEDICAL
313,MANIKAM PALAYAM,SUPRAMANI MALIGAI
314,SIDTHA LANTHUR,DEVARAJ MALIGAI SI
315,NORTH CAR STREET,murugan
316,VELLORE ROAD,RAJU TCMS
317,KOKRAYANPETAI,KGS MALIGAI
318,KUMARAMANGALAM,KUMARAN BAKERYK
319,MANIKAM PALAYAM,KALAIMAGAL ANGADI
320,MANIKAM PALAYAM,SANJAI MALIGAI
321,SALEM ROAD,HOLY ANGELS PRIMARY SCHOOL
322,SALEM ROAD,ST ANTONY H R SEC SCHOOL
323,COLONY,NELLAI AMBIGA MALIGAI
324,PATTARIMEDU,SRI BALAMURUGAN DIPPARTMENT
325,THOKAVADI,SPK EDUCATIONAL TRUST CANTEEN
326,KUMARAMANGALAM,NEW SANA BAKERY
327,ELACHIPALAYAM,NELLAI TIRUCHENDURMURUGAN STORES
328,MORE PALAYAM,KARUPATTY RAJA TEA
329,ANNANAGAR SPP COLNY,NR SUPERMARKET
330,KUMARAMANGALAM,ANGALAMMAN MALIGAI
331,SOLASIRAMANI MOLASI,SRI VELAVA BAKERY
332,ELACHIPALAYAM,MATHESVARAN MALIGAI EM
333,ELACHIPALAYAM,RAJAVEL MALIGAI
334,SOLASIRAMANI MOLASI,KALA BAKERY
335,ELACHIPALAYAM,PUVANESVARI MALIGAI
336,KOOTAPPALLI,PALANIYAPPAN MALIGAIK
337,VELLORE ROAD,2425
338,KANTHAM PALAYAM,SRI SAKTHI MEDICAL
339,PATTARIMEDU,THANUSGA MALIGAI
340,VELLORE ROAD,THAMARAI MALIGAI
341,SALEM ROAD,SAGAR MALIGAI
342,KANTHAM PALAYAM,AP KAYKARIKADAI
343,ELACHIPALAYAM,AMMAN MALIGAI EP
344,BUSTANT,SUPRAMANIAM COOL
345,PUTHOOR THONDIKAD,AMMAN MALIGAIP
346,ELACHIPALAYAM,OMSAKTHI MALIGAI E
347,VELLORE ROAD,CAKE WORLD
348,DEVANAKURUCHI,NELLAI AMMAN MALIGAI
349,KOKRAYANPETAI,RILACKS BAKERY
350,KOKRAYANPETAI,SINNATHAMBI MALIGAI
351,KOKRAYANPETAI,SRI IYANGAR BAKERY VITAM
352,SOLASIRAMANI MOLASI,PVS MALIGAI
353,KOKRAYANPETAI,MRM MALIGAI
354,SOLASIRAMANI MOLASI,SELVAM MALIGAIS
355,KOKRAYANPETAI,LUCKY STORESK
356,KOKRAYANPETAI,PALANISAMY MALIGAI
357,KOKRAYANPETAI,GOGUL STORES
358,KOKRAYANPETAI,SELVAM MALIGAI K
359,KOKRAYANPETAI,NEW LUCKY STORS
360,KOKRAYANPETAI,NEELAGIRI MALIGAI TWO
361,KOKRAYANPETAI,OMSAKTHI MALIGAIK
362,KOKRAYANPETAI,MURUGAN STORES
363,KOKRAYANPETAI,MANI MALIGAI
364,KOKRAYANPETAI,SRI MURUGAN STORES
365,KOKRAYANPETAI,NELLAI POWN MALIGAI
366,KOKRAYANPETAI,MRV MALIGAI
367,KOKRAYANPETAI,SRI IYANGAR BAKERY K
368,PATTARIMEDU,KANTHASAMY TEA STAL
369,SIDTHA LANTHUR,BATHMA MALIGAI
370,SIDTHA LANTHUR,KANDASAMY MALIGAI S
371,PATTARIMEDU,BUSHRA AGENCY
372,SOLASIRAMANI MOLASI,THAN VANYHIRI
373,NORTH CAR STREET,SRI RAMDSVE GIFT HOUS
374,BUSTANT,BABA COOLDRINGS
375,KANTHAM PALAYAM,KURINJI BAKERYM
376,KOOTAPPALLI,RAGMAN STORES
377,VELLORE ROAD,MALAR HOTEL
378,MANIKAM PALAYAM,MURUGAN MALIGAIM
379,WEST CAR STREET,KUNA BEETA STAL
380,KOKRAYANPETAI,MATHAN MALIGAI
381,KUMARAMANGALAM,ASR MALIGAI
382,KUMARAMANGALAM,MAHENDRA WOMAN COLLEGE
383,PATTARIMEDU,MAYURA BAKERY
384,PUTHOOR THONDIKAD,KRISNAVENI MALIGAI
385,ELACHIPALAYAM,NIKSANA MEDICAL
386,KUMARAMANGALAM,MALAR MALIGAIK
387,KUMARAMANGALAM,STAR BAKERY
388,ELACHIPALAYAM,BEMAS BAKERY EP
389,ELACHIPALAYAM,SRI AMMAN IYANGAR
390,MANIKAM PALAYAM,JKS MALIGAI
391,KOOTAPPALLI,KANAGAM STORES
392,SIDTHA LANTHUR,SKM  TES STAL
393,VELLORE ROAD,TOCOBAY STORES
394,MORE PALAYAM,MPM MALIGAI
395,KANTHAM PALAYAM,THANALECHIMI MAIIGAI
396,SOUTH CAR STREET,FLAVARKING COOL
397,PATTARIMEDU,KOVAI BAKERY PALMADAI
398,SOLASIRAMANI MOLASI,THREE STAR BAKERYS
399,KANTHAM PALAYAM,THURAI MALIGAI
400,THOKAVADI,SANTHIYA MALIGAI
401,KOKRAYANPETAI,PSI BAKERY
402,ERODE ROAD,S S MALIGAI
403,SANGAGIRI ROAD,NALAM MEDICAL
404,KOKRAYANPETAI,NEELAGIRI STORES ONE
405,SOUTH CAR STREET,SRI.BUVANESWARI.STORES
406,PATTARIMEDU,INDIAN DIPPARTMENT RS
407,KOKRAYANPETAI,KURINJI BAKERYK
408,SIDTHA LANTHUR,KRISHNA POO KADAI
409,COLONY,NELLAI MURUGAN MALIGAI
410,SANTHAPETTAI,SRI AMMAN MALIGAI
411,SOLASIRAMANI MOLASI,VICNESHVARA BISCUIT STAL
412,ELACHIPALAYAM,NEW NELLAI STORES
413,MORE PALAYAM,APOORVA MALIGAI
414,SANGAGIRI ROAD,BLUCK BACKS TEA STAL
415,SIDTHA LANTHUR,BOOJA STORES
416,KOLIKALNATHAM ROAD,LACKY STORES SP
417,SALEM ROAD,AMUTHAM MALIGAI
418,PATTARIMEDU,KPS MALIGAI
419,KOLIKALNATHAM ROAD,SUTHA MALIGAI
420,KOLIKALNATHAM ROAD,RAMESH MALIGAI
421,KOLIKALNATHAM ROAD,SEGAR MALIGAI
422,COLONY,FIVE STAR MALIGAI
423,PATTARIMEDU,NARASIMMA BAKERY
424,VELLORE ROAD,NANTHINI MALIGAI
425,MANIKAM PALAYAM,OMSAKTHI BAKERY
426,KOLIKALNATHAM ROAD,GOUTHAM MALIGAI
427,KOLIKALNATHAM ROAD,RBK MALI GAI
428,KOLIKALNATHAM ROAD,SIVAKUMAR MALIGAI
429,SANTHAPETTAI,SRIDEVI MALIGAI
430,SANGAGIRI ROAD,THE GRAND SWEETS  AND CAKES
431,VELLORE ROAD,AASAI MALIGAI V
432,SIDTHA LANTHUR,LOGANATHAN MALIGAI
433,KOLIKALNATHAM ROAD,ILAGI MALIGAI
434,COLONY,SATHIS THINESH BAKERY
435,KANTHAM PALAYAM,SKV GIRLS CANTEEN
436,VELLORE ROAD,SM MALIGAI
437,SOLASIRAMANI MOLASI,ARUMUGAM MALIGAIS
438,KOLIKALNATHAM ROAD,ARASU MALIGAI
439,KOLIKALNATHAM ROAD,JEYAM MALIGAI KN
440,KUMARAMANGALAM,SRI SAKTHI SUPER MARKET
441,VELLORE ROAD,AMMAIAPPA IYANGAR BAKERY VR
442,MORE PALAYAM,NELLAI ARJANA MALIGAI SR
443,MANIKAM PALAYAM,HANI MITHRA BAKERY
444,THOKAVADI,NILA BAKERY
445,PATTARIMEDU,PALANIMUTHU MALIGAI
446,ELACHIPALAYAM,SRI SARAVANA MALIGAI
447,ANNANAGAR SPP COLNY,SIVASAKTHI MALIGAI
448,DEVANAKURUCHI,VASANTHI MAKIGAI
449,SIDTHA LANTHUR,NELLAI ANGELS MALIGAI
450,PAVADI STREET,CHITRA MALIGAI
451,MORE PALAYAM,MAKKAL MALIGAI
452,EAST CAR STREET,ELAGOVAN MALIGAI
453,KOLIKALNATHAM ROAD,KUMARAGURU BAKERY
454,KANTHAM PALAYAM,ROYAL BAKERYK
455,SALEM ROAD,KANNAN DIPPARTMENT TWO
456,KOKRAYANPETAI,RAJASRI BAKERY
457,PAVADI STREET,SEENI MALIGAI
458,PUTHOOR THONDIKAD,SRI VELAVAN STORES
459,KUMARAMANGALAM,VVMK TEA STAL
460,SANTHAPETTAI,CITRA MALIGAI
461,PUTHOOR THONDIKAD,SIVASOORIYA MEDICAL
462,SIDTHA LANTHUR,GOLDEN BAKERY
463,MANIKAM PALAYAM,BALAJI SUPER MARKET
464,KANTHAM PALAYAM,BLACK BAKES TEA STAL
465,KOOTAPPALLI,VENGATESVARA BAKERY
466,ELACHIPALAYAM,MUGAVAI MALIGAI E
467,THOKAVADI,SELVAM MALIGAI KSR
468,THOKAVADI,SRI AMMAN MALIGAI TV
469,KOOTAPPALLI,SM STORES K
470,KUMARAMANGALAM,KANNAN MEDICAL
471,DEVANAKURUCHI,THOOTHUKUDI STORES
472,KOKRAYANPETAI,RAMASAMY MALIGAI
473,KOKRAYANPETAI,PUVEELI STORES
474,VELLORE ROAD,KVN MALIGAI
475,VELLORE ROAD,JEYALAKSHIMI BAKERY
476,KOOTAPPALLI,NANA NANI RESTARAND
477,THOKAVADI,ANDAVR MEDICAL
478,KOKRAYANPETAI,MARUTHI MALIGAI
479,KUMARAMANGALAM,PANDIAN MALIGAI
